Text,Sentiment
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",Positive
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,Positive
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,Positive
MNTA Over 12.00  ,Positive
OI  Over 21.37  ,Positive
PGNX  Over 3.04  ,Positive
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,Negative
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,Negative
GOOG - ower trend line channel test & volume support.   ,Positive
AAP will watch tomorrow for ONG entry.,Positive
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,Positive
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",Positive
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,Positive
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,Positive
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,Positive
HA Hitting 35.65 means resume targeting 42 level ..  ,Positive
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,Positive
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,Positive
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",Positive
ATHX upper trend line   ,Positive
NG - nice PNF BY - breakout - need follow thru  ,Positive
Won't believe AAP uptrend is back until it crosses above MA(50),Negative
X swing still on   ,Positive
SWY - 30% of float short and breaking out - ouch,Positive
BIOF wants 4.90's comin!!!,Positive
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,Positive
" red, not ready for break out.",Negative
EI close to breaking out now.  My trigger is at 30.40.   ,Positive
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,Positive
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",Positive
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,Positive
"user: been adding VXY long off the bottom today for trade, also got WPI near low",Negative
"I repeat, if global economy is going to get better this year go with C instead of BAC",Positive
GOOG go ONG on close above 725.,Positive
NKD looking like a good short. Failed to break price level resistance at 116 today.,Negative
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,Positive
SBX buy when it clears resistance at 54.5,Positive
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,Positive
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,Negative
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,Positive
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),Positive
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,Positive
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",Positive
NG stellar move - still long swing - full position - I believe user & user in it 2  ,Positive
ATICE & TADE SETP:  KO AN CNX,Positive
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,Positive
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",Positive
c two daily  bull flags on top of each other=bullish still  ,Positive
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,Positive
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,Positive
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,Positive
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",Positive
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,Negative
BAC In a 11.97 for a trade,Positive
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,Negative
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",Positive
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",Positive
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,Positive
SK to the GAVE!,Negative
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,Negative
AAP and GOOG should respond positively to good jobless claims numbers,Positive
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,Positive
user Nice! Color me an INTC bull as well!,Positive
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",Positive
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",Positive
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",Positive
GOOG looks all set to make new ATH. Now before or after E is the unknown.,Positive
GOOG trade this one long verse 10sma  ,Positive
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",Positive
"FOD should see a solid move up tom, system predict nice green candle.",Positive
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,Positive
It's time to invest in MSFT COMPQ   ,Positive
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",Positive
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,Positive
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,Positive
Nice Bull flag breakout here OC #technology #software  ,Positive
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,Positive
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,Positive
X Did .S. Steel Just Breakout?  MT too,Positive
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,Positive
EXPE looks good for higher prices  ,Positive
apc weekly setting up long.  ,Positive
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,Positive
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,Positive
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,Positive
DDD IDCC continue higher,Positive
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",Positive
GPS wow that wa s a fast fast fade...,Negative
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,Positive
Huston we have a GEEN AAP,Positive
P long 9.55,Positive
HN breakout...but 3rd day up so look for pullback to enter long.  ,Positive
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,Positive
KCG ... things that make you go hmmmm?  ,Positive
VNG - Huge  news from patent attorney Dan avicher  ,Positive
NG nhod - check the weekly - target previous lows 2006 :),Positive
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,Positive
AIG American International Group Option Traders bet on 4% down move by next Friday  ,Negative
P out balance +.32,Positive
VNG buys vs. Sells?,Positive
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,Positive
VNG Parabolic moves are a comin',Positive
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,Negative
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",Positive
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,Negative
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",Positive
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,Positive
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",Negative
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,Positive
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",Negative
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,Positive
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,Positive
ZCS user There's your buying,Positive
AAP SPY no more QE for 2013. Now bring the Geithner.,Negative
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,Negative
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",Negative
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,Negative
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,Negative
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",Positive
All of the above: gme Gamestop short targets  spy,Negative
time to get out of the #cloud stocks VMW CM,Negative
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,Positive
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,Positive
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,Positive
BAC what happens next?  ,Negative
KCG someone bought 3.22k 4 Jan 18 Calls....,Positive
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,Positive
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",Positive
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,Positive
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,Positive
BJI Over 35.53 if good volume  ,Positive
CEE Over 35.12  ,Positive
SQNM  Over 5.05  ,Positive
NX On flag break  ,Positive
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,Positive
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,Negative
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",Positive
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,Negative
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,Positive
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,Positive
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,Positive
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,Positive
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",Positive
I am an aapl bull but cannot break this trend line in OBV   ,Negative
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,Positive
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,Positive
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,Positive
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,Positive
"Took some profits off DDD, will add if breaks 60 on volume.",Positive
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,Positive
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",Positive
EOG PXD OAS #energyswag,Positive
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,Negative
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,Negative
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",Negative
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,Negative
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,Negative
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",Positive
sold a little goog ...first time in a while,Positive
Nice cup with handle breakout on MCA,Positive
FAF new highs.,Positive
SPY giving AAP the finger. We don't care about you anymore lol,Negative
The Smith&Corona doing ok. AMZN,Positive
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",Positive
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,Negative
AAP volume higher today than monday. Keep that in mind.,Positive
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",Positive
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",Positive
NVDA 4 hour - love to see the vol explode.   ,Positive
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,Positive
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,Positive
VNG its crazy that anyone listens and trades off this tool.,Positive
GOOG  is getting fueled by AAP's reversal.,Positive
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,Negative
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,Positive
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",Positive
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",Negative
MYE breaking out,Positive
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,Negative
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,Positive
NVDA love to see momo this next week like previous histogram bars noted.   ,Negative
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,Negative
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th",Positive
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",Negative
SQNM from watch list over line on volume of 86% of ave full day  ,Positive
HOTT Failed breakout?  ,Negative
ZN_F ticking up.. I'd be a seller of SDJPY here (*if I weren't already)...,Negative
"INO Wow, nice accumulation today, heavy...",Positive
ZNGA Fat juicy Short back to lower levels as it closes Gap  2.72?  ,Negative
GDOT nice bounce from its 50SMA. ooks ready to test the recent highs  ,Positive
HMA ooking for 10's; headed higher!  ,Positive
"SPF ooking for 9's, headed higher with lower rates.  ",Positive
"GS JPM XF HOD, they are hungry for stocks out there... SPY",Positive
CHK weekly bullish engulfing   ,Positive
GS looks good heading into next week.,Positive
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,Positive
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject  ,Positive
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET",Positive
Picked up FS on pullback due to downgrade. Held support to close week. First PT 37.30  ,Positive
"user: I've been picking this one for a while, but I'm calling KKD as the next food company to make a DPZ like run in TWENTY13.",Positive
