Text,Predicted_Sentiment
hold tata consultancy service target r 4432 anand rathi,Positive
gopal snack stock slump 3 despite positive q2 result emkay remains bullish,Positive
subscribe hyundai motor india ipo asit c mehta,Positive
subscribe hyundai motor india ipo geojit financial service,Positive
hcl tech q2 fy25 steam stock post strong quarter,Positive
reduce hcl technology target r 1710 icici security,Positive
jsw infra share rise 3 nuvama initiate buy strong prospect,Positive
sunteck realty stock jump 7 robust q2 business update r 520 cr presales,Positive
stock radar hcltech reliance industry q2 angel one jsw infrastructure focus,Positive
live ril hcltech fuel gain nifty hyundai motor india ipo open opening bell,Positive
agri pick report october 15 2024 geojit financial service,Negative
hdfc bank stock get jefferies buy rating strong deposit growth ldr improvement plan,Positive
stock day rainbow childrens medicare hospital stock nourish investment portfolio,Positive
angel one stock surge 8 robust net profit revenue growth q2,Negative
jsw infrastructure share gain 2 loi maharashtra maritime board,Positive
j kumar infra share price gain order win worth r 2978 crore,Positive
stock market live update nifty 25050 sensex 220 pt mm bajaj finance indusind bank ril top loser,Negative
first tick top 10 global cue todayâs trade,Positive
trade spotlight trade indusind bank tech mahindra firstcry persistent aditya birla capital others tuesday,Positive
stock radar reliance hcl tech angel one sunteck realty chalet hotel garuda construction j kumar focus tuesday,Positive
reliance industry q2 consumptionoriented segment telecom retail drive growth,Positive
bajaj auto q2 preview revenue may rise 23 strong volume rich product mix,Positive
taking stock nifty close 25100 sensex gain 592 point led realty bank stock,Positive
gainer loser stock sector moved october 14,Positive
live nifty reclaims 25100 driven realty ril dmart focus closing bell,Positive
buy cie automotive india target r 650 motilal oswal,Positive
buy federal bank target r 230 motilal oswal,Positive
premier energy stock jump 10 subsidiary bag multiple order worth r 765 crore,Positive
buy ipca laboratory target r 1950 motilal oswal,Positive
buy skipper target r 635 icici security,Positive
hyundais mega ipo book ride,Positive
reduce avenue supermarts target r 4100 icici security,Positive
hold avenue supermarts target r 4748 prabhudas lilladher,Positive
hathway cable stock jump 3 q2 profit revenue rise,Positive
hold sudarshan chemical industry target r 1117 lkp research,Positive
subscribe hyundai motor india ipo ajcon global,Positive
gqg partner promoter entity buy adani group share worth r 19000 crore september quarter,Positive
wipro stock rise 3 board mull bonus issue october 17,Positive
subscribe hyundai motor india ipo kr choksey,Positive
time turn cautious dmart,Positive
analyst call tracker powergrid stock picked maximum downgrade last quarter,Positive
buy tata motor target r 1319 sharekhan,Positive
concor share slip 2 morgan stanley issue underweight rating,Positive
stock radar ashoka buildcon ilfs wipro ltd pnc infratech focus 14 october,Positive
chart day untapped potential india mutual fund,Positive
analyst call tracker divis lab win back favour nifty 50 departure,Positive
divergence order booking tc accenture warrant investor attention,Positive
short call market wobble bullish reboot chinaâs shortterm spark v indiaâs longterm fire dmart tc focus,Negative
live nifty continue struggle direction amid earnings ril hcl tech q2 opening bell,Positive
agri pick report october 14 2024 geojit financial service,Negative
jpmorgan back lt stock overweight rating see strong revenue growth margin gain,Positive
brokerage radar mixed call avenue supermarts outlook bullish omcs life insurer,Positive
pnc infratech stock gain bagging r 2039 crore contract cidco naina project,Positive
ashoka buildcon share gain 5 winning project worth r 230999 crore,Positive
closing bell sensex 592 pt nifty 25100 realty bank shine,Positive
first tick top 10 global cue todayâs trade,Positive
money matter snowball v avalancheâwhich debt repayment strategy maximize saving,Positive
stock radar pnc infratech jsw energy valore estate metropolis ashoka buildcon hindustan aeronautics focus monday,Positive
trade spotlight trade persistent tata chemical exide industry hindustan aeronautics gujarat alkali others monday,Positive
